Wilaya,Zone,%,Prix d’achat IMIR,,Prix d’achat NORD ET OUEST,,Silver Prix de Livraison Arrow,,Gold Prix de Livraison Arrow,,Platinum Prix de Livraison Arrow,,BNF Silver,,BNF Gold,,BNF Platinum ,,,,,,
,,,HD,SD,Livraison Domicile (DA),Livraison Stopdesk (DA),Livraison Domicile (DA),Livraison Stopdesk (DA),Livraison Domicile (DA),Livraison Stopdesk (DA),Livraison Domicile (DA),Livraison Stopdesk (DA),Livraison Domicile (DA),Livraison Stopdesk (DA),Livraison Domicile (DA),Livraison Stopdesk (DA),Livraison Domicile (DA),Livraison Stopdesk (DA),,,,,
Alger,0,17.30%,350.00,250.00,400,200,450,250,430,230,400,200,50,50,30,30,0,0,50,50,,,133.3333333
Blida,1,3.61%,500,300,400,250,570,350,560,350,500,320,170,100,160,100,100,70,70,30,,,6666.666667
Boumerdès,1,2.29%,500,300,400,250,570,350,560,350,500,320,170,100,160,100,100,70,70,30,,,200000
Tipaza,1,2.03%,500,300,400,250,570,350,560,350,500,320,170,100,160,100,100,70,70,30,,500,25000
Bouira,2,1.61%,550,300,500,280,700,400,700,400,630,360,200,120,200,120,130,80,70,40,,,
Médéa,2,1.26%,550,300,500,280,700,400,700,400,630,360,200,120,200,120,130,80,70,40,,,
Oran,2,6.11%,550,300,580,280,770,450,750,450,690,400,190,170,170,170,110,120,80,50,,,
Sétif,2,3.41%,570,300,580,280,770,450,750,450,690,400,190,170,170,170,110,120,80,50,,,
Béjaïa,2,3.31%,550,300,600,280,770,450,750,450,690,400,170,170,150,170,90,120,80,50,,,
TiziOuzou,2,3.21%,550,300,500,280,700,400,700,400,630,360,200,120,200,120,130,80,70,40,,,
Constantine,2,3.19%,550,300,580,280,770,450,750,450,690,400,190,170,170,170,110,120,80,50,,,
Annaba,2,2.53%,550,300,580,280,770,450,750,450,690,400,190,170,170,170,110,120,80,50,,,
Mostaganem,2,1.98%,550,300,600,280,770,450,750,450,690,400,170,170,150,170,90,120,80,50,,,
Chlef,2,1.90%,570,300,600,280,770,450,750,450,690,400,170,170,150,170,90,120,80,50,,,
BordjBouArreridj,2,1.35%,570,300,600,280,770,450,750,450,690,400,170,170,150,170,90,120,80,50,,,
AïnDefla,2,1.31%,550,300,600,280,770,450,750,450,690,400,170,170,150,170,90,120,80,50,,,
Relizane,2,1.13%,570,300,600,280,820,450,800,450,730,400,220,170,200,170,130,120,90,50,,,
Batna,2,2.83%,550,300,600,280,770,450,750,450,690,400,170,170,150,170,90,120,80,50,,,
Tlemcen,2,2.53%,550,300,600,280,770,450,750,450,690,400,170,170,150,170,90,120,80,50,,,
Skikda,2,1.89%,550,300,600,280,770,450,750,450,690,400,170,170,150,170,90,120,80,50,,,
Tiaret,2,1.72%,550,300,600,280,770,450,750,450,690,400,170,170,150,170,90,120,80,50,,,
M'Sila,2,1.62%,550,300,600,280,800,450,780,450,720,400,200,170,180,170,120,120,80,50,,,
